Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,25.74,25.0,17,91,8.74,1.91
multidim-2,multidim-2,26.6,11.0,21,98,5.6,1.98
Matrix,Matrix,26.6,11.0,21,98,5.6,1.98
Hierarchical,Hierarchical,27.78,27.0,[4 3 3],100,23.78,4.0
multidim-3,multidim-3,44.25,25.0,15,99,29.25,1.99
STD,STD,49.0,15.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,64.0,53.0,64,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,53.0,77,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,84.0,32.0,84,0,0.0,1.0
multidim-4,multidim-4,92.29,36.0,13,100,79.29,2.0
Binary,Binary,111.46,53.0,7,100,104.46,2.0
