Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,14.9,28.0,12,72,2.9,1.72
multidim-3,multidim-3,15.54,20.0,13,84,2.54,1.84
multidim-4,multidim-4,15.56,27.0,12,87,3.56,1.87
Ch. Rm. Special,Ch. Rm. Special,18.0,27.0,18,0,0.0,1.0
Hierarchical,Hierarchical,19.35,27.0,[3 3 3],100,16.35,4.0
Matrix,Matrix,19.49,9.0,18,74,1.49,1.74
multidim-2,multidim-2,19.49,9.0,18,74,1.49,1.74
STD,STD,25.0,16.0,25,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,34.0,40.0,34,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,40.0,41,0,0.0,1.0
Binary,Binary,57.72,40.0,7,100,50.72,2.0
