Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,30.08,10.0,[8 3],100,22.08,3.0
multidim-2,multidim-2,48.53,9.0,18,100,30.53,2.0
Matrix,Matrix,48.53,9.0,18,100,30.53,2.0
STD,STD,55.0,7.0,55,0,0.0,1.0
Random,Random,70.84,15.0,16,100,54.84,2.0
Binary,Binary,82.99,38.0,7,100,75.99,2.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,83.0,26.0,83,0,0.0,1.0
multidim-3,multidim-3,87.12,20.0,13,100,74.12,2.0
multidim-4,multidim-4,87.48,27.0,12,100,75.48,2.0
Chinese remainder,Chinese remainder,100.0,38.0,100,0,0.0,1.0
