Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,26.43,31.0,19,88,7.43,1.88
multidim-2,multidim-2,29.78,12.0,24,99,5.78,1.99
Matrix,Matrix,29.78,12.0,24,99,5.78,1.99
Hierarchical,Hierarchical,30.08,24.0,[6 3 3],100,24.08,4.0
multidim-3,multidim-3,46.06,30.0,16,100,30.06,2.0
STD,STD,49.0,21.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,66.0,36.0,66,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,71.0,77,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,112.0,64.0,112,0,0.0,1.0
multidim-4,multidim-4,122.07,48.0,14,100,108.07,2.0
Binary,Binary,149.24,71.0,8,100,141.24,2.0
