Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,26.92,30.0,18,91,8.92,1.91
multidim-2,multidim-2,28.68,12.0,23,98,5.68,1.98
Matrix,Matrix,28.68,12.0,23,98,5.68,1.98
Hierarchical,Hierarchical,29.0,25.0,[5 3 3],100,24.0,4.0
multidim-3,multidim-3,46.88,25.0,15,99,31.88,1.99
STD,STD,49.0,18.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,64.0,42.0,64,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,62.0,77,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,84.0,32.0,84,0,0.0,1.0
multidim-4,multidim-4,100.99,42.0,14,100,86.99,2.0
Binary,Binary,130.57,62.0,7,100,123.57,2.0
