Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Binary,Binary,5.0,14.0,5,0,0.0,1.0
Random,Random,6.37,11.0,4,89,2.37,1.89
Hierarchical,Hierarchical,8.79,9.0,[3 3],96,5.79,3.0
multidim-3,multidim-3,9.0,9.0,9,0,0.0,1.0
STD,STD,9.0,9.0,9,0,0.0,1.0
Chinese remainder,Chinese remainder,10.0,14.0,10,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,10.0,14.0,10,0,0.0,1.0
multidim-4,multidim-4,10.0,14.0,10,0,0.0,1.0
Matrix,Matrix,11.0,6.0,11,0,0.0,1.0
multidim-2,multidim-2,11.0,6.0,11,0,0.0,1.0
