Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,13.05,17.0,10,81,3.05,1.81
multidim-3,multidim-3,13.05,14.0,11,74,2.05,1.74
multidim-4,multidim-4,13.68,21.0,11,78,2.68,1.78
multidim-2,multidim-2,14.4,7.0,13,70,1.4,1.7
Matrix,Matrix,14.4,7.0,13,70,1.4,1.7
Hierarchical,Hierarchical,15.79,9.0,[5 3],100,10.79,3.0
Ch. Rm. Special,Ch. Rm. Special,18.0,27.0,18,0,0.0,1.0
STD,STD,25.0,9.0,25,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,28.0,21.0,28,0,0.0,1.0
Chinese remainder,Chinese remainder,28.0,21.0,28,0,0.0,1.0
Binary,Binary,32.46,21.0,6,99,26.46,1.99
