Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,24.6,10.0,20,98,4.6,1.98
Matrix,Matrix,24.6,10.0,20,98,4.6,1.98
Random,Random,25.15,25.0,17,90,8.15,1.9
Hierarchical,Hierarchical,27.13,20.0,[5 3 3],100,22.13,4.0
multidim-3,multidim-3,42.74,24.0,14,99,28.74,1.99
STD,STD,49.0,14.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,60.0,32.0,60,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,48.0,77,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,84.0,32.0,84,0,0.0,1.0
Binary,Binary,103.0,48.0,7,100,96.0,2.0
multidim-4,multidim-4,109.0,36.0,13,100,96.0,2.0
