Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,15.82,37.0,13,73,2.82,1.73
multidim-4,multidim-4,16.93,36.0,13,90,3.93,1.9
multidim-3,multidim-3,17.53,25.0,15,85,2.53,1.85
Hierarchical,Hierarchical,20.84,27.0,[4 3 3],100,16.84,4.0
Matrix,Matrix,22.57,11.0,21,78,1.57,1.78
multidim-2,multidim-2,22.57,11.0,21,78,1.57,1.78
Ch. Rm. Special,Ch. Rm. Special,25.0,81.0,25,0,0.0,1.0
STD,STD,25.0,22.0,25,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,36.0,27.0,36,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,54.0,41,0,0.0,1.0
Binary,Binary,87.2,54.0,7,100,80.2,2.0
