Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,17.08,53.0,14,74,3.08,1.74
multidim-3,multidim-3,18.78,30.0,16,89,2.78,1.89
multidim-4,multidim-4,19.04,49.0,15,91,4.04,1.91
Hierarchical,Hierarchical,22.72,30.0,[5 3 3],100,17.72,4.0
Ch. Rm. Special,Ch. Rm. Special,25.0,81.0,25,0,0.0,1.0
Matrix,Matrix,26.62,13.0,25,81,1.62,1.81
multidim-2,multidim-2,26.62,13.0,25,81,1.62,1.81
STD,STD,35.0,21.0,35,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,40.0,30.0,40,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,74.0,41,0,0.0,1.0
Binary,Binary,103.11,74.0,8,100,95.11,2.0
