Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,30.6,9.0,[9 3],100,21.6,3.0
multidim-2,multidim-2,51.52,9.0,18,100,33.52,2.0
Matrix,Matrix,51.52,9.0,18,100,33.52,2.0
STD,STD,55.0,8.0,55,0,0.0,1.0
Random,Random,76.48,14.0,16,100,60.48,2.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,85.0,21.0,85,0,0.0,1.0
Binary,Binary,87.99,41.0,7,100,80.99,2.0
multidim-4,multidim-4,92.58,27.0,12,100,80.58,2.0
multidim-3,multidim-3,92.6,21.0,14,100,78.6,2.0
Chinese remainder,Chinese remainder,100.0,41.0,100,0,0.0,1.0
