Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,14.33,26.0,11,79,3.33,1.79
multidim-3,multidim-3,14.34,16.0,12,80,2.34,1.8
multidim-4,multidim-4,15.01,27.0,12,82,3.01,1.82
multidim-2,multidim-2,17.39,8.0,16,70,1.39,1.7
Matrix,Matrix,17.39,8.0,16,70,1.39,1.7
Ch. Rm. Special,Ch. Rm. Special,18.0,27.0,18,0,0.0,1.0
Hierarchical,Hierarchical,18.07,13.0,[5 4],100,13.07,3.0
STD,STD,25.0,13.0,25,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,30.0,21.0,30,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,31.0,41,0,0.0,1.0
Binary,Binary,51.74,31.0,6,100,45.74,2.0
