Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,30.18,9.0,[9 3],100,21.18,3.0
multidim-2,multidim-2,48.59,9.0,18,100,30.59,2.0
Matrix,Matrix,48.59,9.0,18,100,30.59,2.0
STD,STD,55.0,7.0,55,0,0.0,1.0
Random,Random,69.37,12.0,16,100,53.37,2.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,83.0,26.0,83,0,0.0,1.0
Binary,Binary,83.99,39.0,7,100,76.99,2.0
multidim-3,multidim-3,88.14,20.0,13,100,75.14,2.0
multidim-4,multidim-4,88.49,27.0,12,100,76.49,2.0
Chinese remainder,Chinese remainder,100.0,39.0,100,0,0.0,1.0
