Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,21.4,8.0,16,96,5.4,1.96
Matrix,Matrix,21.4,8.0,16,96,5.4,1.96
Random,Random,22.59,14.0,14,94,8.59,1.94
Hierarchical,Hierarchical,22.93,9.0,[7 3],100,15.93,3.0
multidim-3,multidim-3,38.56,16.0,12,99,26.56,1.99
STD,STD,49.0,9.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,53.0,15.0,53,0,0.0,1.0
multidim-4,multidim-4,54.34,27.0,12,99,42.34,1.99
Chinese remainder,Chinese remainder,58.0,30.0,58,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,60.0,16.0,60,0,0.0,1.0
Binary,Binary,64.5,30.0,6,100,58.5,2.0
