Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,26.79,11.0,21,98,5.79,1.98
Matrix,Matrix,26.79,11.0,21,98,5.79,1.98
Hierarchical,Hierarchical,28.05,19.0,[6 3 3],100,22.05,4.0
Random,Random,28.43,28.0,17,94,11.43,1.94
multidim-3,multidim-3,43.35,25.0,15,99,28.35,1.99
STD,STD,49.0,16.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,64.0,55.0,64,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,55.0,77,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,84.0,32.0,84,0,0.0,1.0
multidim-4,multidim-4,94.61,37.0,14,100,80.61,2.0
Binary,Binary,115.48,55.0,7,100,108.48,2.0
