Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,16.52,46.0,14,68,2.52,1.68
multidim-4,multidim-4,17.73,43.0,14,89,3.73,1.89
multidim-3,multidim-3,18.72,27.0,16,87,2.72,1.87
Hierarchical,Hierarchical,21.82,26.0,[5 3 3],100,16.82,4.0
Matrix,Matrix,24.57,12.0,23,78,1.57,1.78
multidim-2,multidim-2,24.57,12.0,23,78,1.57,1.78
Ch. Rm. Special,Ch. Rm. Special,25.0,81.0,25,0,0.0,1.0
STD,STD,35.0,19.0,35,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,38.0,32.0,38,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,64.0,41,0,0.0,1.0
Binary,Binary,109.38,64.0,7,100,102.38,2.0
