Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,23.57,18.0,16,89,7.57,1.89
multidim-2,multidim-2,23.72,9.0,18,97,5.72,1.97
Matrix,Matrix,23.72,9.0,18,97,5.72,1.97
Hierarchical,Hierarchical,25.62,9.0,[9 3],100,16.62,3.0
multidim-3,multidim-3,44.24,20.0,13,99,31.24,1.99
STD,STD,49.0,12.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,59.0,16.0,59,0,0.0,1.0
multidim-4,multidim-4,73.16,27.0,12,99,61.16,1.99
Chinese remainder,Chinese remainder,77.0,40.0,77,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,84.0,32.0,84,0,0.0,1.0
Binary,Binary,86.25,40.0,7,100,79.25,2.0
