Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,8.77,5.0,6,77,2.77,1.77
multidim-2,multidim-2,8.8,4.0,8,40,0.8,1.4
Matrix,Matrix,8.8,4.0,8,40,0.8,1.4
multidim-3,multidim-3,9.26,7.0,8,51,1.26,1.51
Hierarchical,Hierarchical,9.92,3.0,[5],99,4.92,2.0
Ch. Rm. Special,Ch. Rm. Special,12.0,9.0,12,0,0.0,1.0
Binary,Binary,14.69,7.0,4,96,10.69,1.96
STD,STD,15.0,3.0,15,0,0.0,1.0
Chinese remainder,Chinese remainder,17.0,7.0,17,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,17.0,7.0,17,0,0.0,1.0
