Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,28.97,9.0,[8 3],100,20.97,3.0
multidim-2,multidim-2,47.88,9.0,17,100,30.88,2.0
Matrix,Matrix,47.88,9.0,17,100,30.88,2.0
STD,STD,55.0,7.0,55,0,0.0,1.0
Random,Random,68.8,10.0,15,100,53.8,2.0
Binary,Binary,75.98,35.0,7,100,68.98,2.0
multidim-3,multidim-3,79.96,20.0,13,100,66.96,2.0
multidim-4,multidim-4,80.42,27.0,12,100,68.42,2.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,83.0,35.0,83,0,0.0,1.0
Chinese remainder,Chinese remainder,100.0,35.0,100,0,0.0,1.0
