Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,25.86,9.0,[6 3],100,19.86,3.0
multidim-2,multidim-2,46.73,8.0,15,99,31.73,1.99
Matrix,Matrix,46.73,8.0,15,99,31.73,1.99
Random,Random,51.33,9.0,14,100,37.33,2.0
STD,STD,55.0,5.0,55,0,0.0,1.0
Binary,Binary,55.98,25.0,6,100,49.98,2.0
multidim-3,multidim-3,60.17,16.0,12,100,48.17,2.0
multidim-4,multidim-4,60.37,25.0,11,100,49.37,2.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,72.0,10.0,72,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,25.0,77,0,0.0,1.0
