Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,13.76,17.0,11,72,2.76,1.72
multidim-3,multidim-3,14.15,16.0,12,77,2.15,1.77
multidim-4,multidim-4,14.16,27.0,11,82,3.16,1.82
multidim-2,multidim-2,16.35,8.0,15,68,1.35,1.68
Matrix,Matrix,16.35,8.0,15,68,1.35,1.68
Hierarchical,Hierarchical,17.15,9.0,[6 3],100,11.15,3.0
Ch. Rm. Special,Ch. Rm. Special,18.0,27.0,18,0,0.0,1.0
STD,STD,25.0,11.0,25,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,30.0,18.0,30,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,27.0,41,0,0.0,1.0
Binary,Binary,43.49,27.0,6,100,37.49,2.0
