Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,22.64,9.0,17,96,5.64,1.96
Matrix,Matrix,22.64,9.0,17,96,5.64,1.96
Hierarchical,Hierarchical,23.68,10.0,[7 3],100,16.68,3.0
Random,Random,24.05,18.0,15,92,9.05,1.92
multidim-3,multidim-3,42.47,17.0,13,99,29.47,1.99
STD,STD,49.0,10.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,53.0,13.0,53,0,0.0,1.0
Chinese remainder,Chinese remainder,58.0,33.0,58,0,0.0,1.0
multidim-4,multidim-4,60.0,27.0,12,99,48.0,1.99
Binary,Binary,70.88,33.0,7,100,63.88,2.0
Ch. Rm. Special,Ch. Rm. Special,84.0,32.0,84,0,0.0,1.0
