Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,22.5,9.0,17,97,5.5,1.97
Matrix,Matrix,22.5,9.0,17,97,5.5,1.97
Hierarchical,Hierarchical,24.28,9.0,[8 3],100,16.28,3.0
Random,Random,24.81,15.0,15,93,9.81,1.93
multidim-3,multidim-3,40.2,20.0,13,99,27.2,1.99
STD,STD,49.0,10.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,53.0,14.0,53,0,0.0,1.0
Chinese remainder,Chinese remainder,58.0,35.0,58,0,0.0,1.0
multidim-4,multidim-4,63.55,27.0,12,99,51.55,1.99
Binary,Binary,75.06,35.0,7,100,68.06,2.0
Ch. Rm. Special,Ch. Rm. Special,84.0,32.0,84,0,0.0,1.0
