Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,16.61,44.0,13,81,3.61,1.81
multidim-4,multidim-4,17.74,44.0,14,89,3.74,1.89
multidim-3,multidim-3,18.7,28.0,16,87,2.7,1.87
Hierarchical,Hierarchical,21.85,26.0,[5 3 3],100,16.85,4.0
Matrix,Matrix,24.58,12.0,23,79,1.58,1.79
multidim-2,multidim-2,24.58,12.0,23,79,1.58,1.79
Ch. Rm. Special,Ch. Rm. Special,25.0,81.0,25,0,0.0,1.0
STD,STD,35.0,19.0,35,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,40.0,32.0,40,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,64.0,41,0,0.0,1.0
Binary,Binary,109.23,64.0,8,98,101.23,1.98
