Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps,N pools
Random,Random,3.8,5.0,3,40,0.8,1.4,
Binary,Binary,4.0,5.0,4,0,0.0,1.0,
Hierarchical,Hierarchical,6.09,4.0,[3],91,3.09,2.0,
multidim-3,multidim-3,7.0,6.0,7,0,0.0,1.0,
multidim-2,multidim-2,7.0,4.0,7,0,0.0,1.0,
Matrix,Matrix,7.0,4.0,7,0,0.0,1.0,
Ch. Rm. Bktrk,Ch. Rm. Bktrk,7.0,5.0,,0,0.0,1.0,7.0
STD,STD,9.0,4.0,9,0,0.0,1.0,
Chinese reminder,Chinese reminder,10.0,5.0,10,0,0.0,1.0,
