Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,25.88,23.0,17,90,8.88,1.9
multidim-2,multidim-2,26.68,11.0,21,98,5.68,1.98
Matrix,Matrix,26.68,11.0,21,98,5.68,1.98
Hierarchical,Hierarchical,27.6,26.0,[4 3 3],100,23.6,4.0
multidim-3,multidim-3,45.44,25.0,15,99,30.44,1.99
STD,STD,49.0,15.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,62.0,34.0,62,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,51.0,77,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,84.0,32.0,84,0,0.0,1.0
multidim-4,multidim-4,89.58,36.0,13,100,76.58,2.0
Binary,Binary,108.44,51.0,7,100,101.44,2.0
