Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,14.01,21.0,11,78,3.01,1.78
multidim-3,multidim-3,14.22,16.0,12,78,2.22,1.78
multidim-4,multidim-4,15.02,27.0,12,80,3.02,1.8
multidim-2,multidim-2,17.39,8.0,16,70,1.39,1.7
Matrix,Matrix,17.39,8.0,16,70,1.39,1.7
Hierarchical,Hierarchical,17.76,10.0,[6 3],100,11.76,3.0
Ch. Rm. Special,Ch. Rm. Special,18.0,27.0,18,0,0.0,1.0
STD,STD,25.0,12.0,25,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,30.0,20.0,30,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,29.0,41,0,0.0,1.0
Binary,Binary,48.69,29.0,6,100,42.69,2.0
