Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,16.45,47.0,14,66,2.45,1.66
multidim-4,multidim-4,17.75,45.0,14,90,3.75,1.9
multidim-3,multidim-3,18.7,29.0,16,87,2.7,1.87
Hierarchical,Hierarchical,21.88,26.0,[5 3 3],100,16.88,4.0
Matrix,Matrix,24.59,12.0,23,79,1.59,1.79
multidim-2,multidim-2,24.59,12.0,23,79,1.59,1.79
Ch. Rm. Special,Ch. Rm. Special,25.0,81.0,25,0,0.0,1.0
STD,STD,35.0,19.0,35,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,40.0,33.0,40,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,65.0,41,0,0.0,1.0
Binary,Binary,108.18,65.0,8,99,100.18,1.99
