Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,21.44,8.0,16,96,5.44,1.96
Matrix,Matrix,21.44,8.0,16,96,5.44,1.96
Hierarchical,Hierarchical,23.14,9.0,[7 3],100,16.14,3.0
Random,Random,24.39,15.0,14,95,10.39,1.95
multidim-3,multidim-3,39.85,16.0,12,99,27.85,1.99
STD,STD,49.0,9.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,53.0,16.0,53,0,0.0,1.0
multidim-4,multidim-4,56.45,27.0,12,99,44.45,1.99
Chinese remainder,Chinese remainder,58.0,31.0,58,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,60.0,16.0,60,0,0.0,1.0
Binary,Binary,66.5,31.0,6,100,60.5,2.0
