Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,16.48,47.0,14,66,2.48,1.66
multidim-4,multidim-4,17.83,45.0,14,90,3.83,1.9
multidim-3,multidim-3,18.65,30.0,16,87,2.65,1.87
Hierarchical,Hierarchical,22.01,27.0,[5 3 3],100,17.01,4.0
Ch. Rm. Special,Ch. Rm. Special,25.0,81.0,25,0,0.0,1.0
Matrix,Matrix,25.63,12.0,24,81,1.63,1.81
multidim-2,multidim-2,25.63,12.0,24,81,1.63,1.81
STD,STD,35.0,19.0,35,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,40.0,34.0,40,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,67.0,41,0,0.0,1.0
Binary,Binary,104.66,67.0,8,100,96.66,2.0
