Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,27.45,31.0,18,92,9.45,1.92
multidim-2,multidim-2,28.65,12.0,23,98,5.65,1.98
Matrix,Matrix,28.65,12.0,23,98,5.65,1.98
Hierarchical,Hierarchical,29.15,26.0,[5 3 3],100,24.15,4.0
multidim-3,multidim-3,47.33,27.0,16,99,31.33,1.99
STD,STD,49.0,19.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,66.0,32.0,66,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,64.0,77,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,84.0,32.0,84,0,0.0,1.0
multidim-4,multidim-4,104.35,43.0,14,100,90.35,2.0
Binary,Binary,133.58,64.0,7,100,126.58,2.0
