Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,26.37,35.0,19,88,7.37,1.88
multidim-2,multidim-2,29.69,12.0,24,98,5.69,1.98
Matrix,Matrix,29.69,12.0,24,98,5.69,1.98
Hierarchical,Hierarchical,29.94,28.0,[5 3 3],100,24.94,4.0
multidim-3,multidim-3,45.85,30.0,16,100,29.85,2.0
STD,STD,49.0,20.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,66.0,35.0,66,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,70.0,77,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,112.0,64.0,112,0,0.0,1.0
multidim-4,multidim-4,120.16,48.0,14,100,106.16,2.0
Binary,Binary,147.23,70.0,8,100,139.23,2.0
