Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,26.21,31.0,19,86,7.21,1.86
multidim-2,multidim-2,28.76,12.0,23,98,5.76,1.98
Matrix,Matrix,28.76,12.0,23,98,5.76,1.98
Hierarchical,Hierarchical,29.3,26.0,[5 3 3],100,24.3,4.0
multidim-3,multidim-3,46.33,30.0,16,99,30.33,1.99
STD,STD,49.0,19.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,66.0,33.0,66,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,65.0,77,0,0.0,1.0
multidim-4,multidim-4,107.53,45.0,14,100,93.53,2.0
Ch. Rm. Special,Ch. Rm. Special,112.0,64.0,112,0,0.0,1.0
Binary,Binary,137.03,65.0,8,100,129.03,2.0
