Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,14.33,25.0,12,68,2.33,1.68
multidim-4,multidim-4,15.03,27.0,12,82,3.03,1.82
multidim-3,multidim-3,15.42,17.0,13,81,2.42,1.81
Ch. Rm. Special,Ch. Rm. Special,18.0,27.0,18,0,0.0,1.0
Hierarchical,Hierarchical,18.42,17.0,[4 3 2],100,14.42,4.0
Matrix,Matrix,18.46,9.0,17,73,1.46,1.73
multidim-2,multidim-2,18.46,9.0,17,73,1.46,1.73
STD,STD,25.0,13.0,25,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,30.0,22.0,30,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,33.0,41,0,0.0,1.0
Binary,Binary,53.04,33.0,7,98,46.04,1.98
