Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,22.46,9.0,17,97,5.46,1.97
Matrix,Matrix,22.46,9.0,17,97,5.46,1.97
Hierarchical,Hierarchical,24.16,10.0,[7 3],100,17.16,3.0
Random,Random,24.37,16.0,15,92,9.37,1.92
multidim-3,multidim-3,40.63,20.0,13,99,27.63,1.99
STD,STD,49.0,10.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,53.0,14.0,53,0,0.0,1.0
Chinese remainder,Chinese remainder,58.0,34.0,58,0,0.0,1.0
multidim-4,multidim-4,62.51,27.0,12,99,50.51,1.99
Binary,Binary,74.01,34.0,7,100,67.01,2.0
Ch. Rm. Special,Ch. Rm. Special,84.0,32.0,84,0,0.0,1.0
