Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,16.55,44.0,14,67,2.55,1.67
multidim-4,multidim-4,17.91,46.0,14,90,3.91,1.9
multidim-3,multidim-3,18.66,30.0,16,87,2.66,1.87
Hierarchical,Hierarchical,22.13,28.0,[5 3 3],100,17.13,4.0
Ch. Rm. Special,Ch. Rm. Special,25.0,81.0,25,0,0.0,1.0
Matrix,Matrix,25.59,12.0,24,79,1.59,1.79
multidim-2,multidim-2,25.59,12.0,24,79,1.59,1.79
STD,STD,35.0,20.0,35,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,40.0,34.0,40,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,68.0,41,0,0.0,1.0
Binary,Binary,102.95,68.0,8,100,94.95,2.0
