Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,8.68,4.0,6,75,2.68,1.75
multidim-2,multidim-2,8.79,4.0,8,40,0.79,1.4
Matrix,Matrix,8.79,4.0,8,40,0.79,1.4
multidim-3,multidim-3,9.19,7.0,8,46,1.19,1.46
Hierarchical,Hierarchical,9.52,4.0,[4],99,5.52,2.0
Ch. Rm. Special,Ch. Rm. Special,12.0,9.0,12,0,0.0,1.0
Binary,Binary,13.59,7.0,4,96,9.59,1.96
STD,STD,15.0,3.0,15,0,0.0,1.0
Chinese remainder,Chinese remainder,17.0,7.0,17,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,17.0,7.0,17,0,0.0,1.0
