Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,24.54,10.0,19,97,5.54,1.97
Matrix,Matrix,24.54,10.0,19,97,5.54,1.97
Hierarchical,Hierarchical,26.17,13.0,[7 4],100,19.17,3.0
Random,Random,26.48,21.0,16,93,10.48,1.93
multidim-3,multidim-3,42.19,22.0,14,99,28.19,1.99
STD,STD,49.0,13.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,60.0,29.0,60,0,0.0,1.0
multidim-4,multidim-4,73.55,31.0,13,99,60.55,1.99
Chinese remainder,Chinese remainder,77.0,43.0,77,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,84.0,32.0,84,0,0.0,1.0
Binary,Binary,91.34,43.0,7,100,84.34,2.0
