Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Binary,Binary,10.0,350.0,10,0,0.0,1.0
Hierarchical,Hierarchical,17.9,234.0,[3 3 3 3 3],100,14.9,6.0
multidim-4,multidim-4,21.0,150.0,21,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,23.0,234.0,23,0,0.0,1.0
Random,Random,25.0,170.0,25,0,0.0,1.0
STD,STD,25.0,140.0,25,0,0.0,1.0
multidim-3,multidim-3,27.0,81.0,27,0,0.0,1.0
Chinese remainder,Chinese remainder,28.0,350.0,28,0,0.0,1.0
Matrix,Matrix,53.0,27.0,53,0,0.0,1.0
multidim-2,multidim-2,53.0,27.0,53,0,0.0,1.0
