Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,26.13,34.0,20,82,6.13,1.82
Hierarchical,Hierarchical,30.4,25.0,[6 3 3],100,24.4,4.0
Matrix,Matrix,30.68,13.0,25,98,5.68,1.98
multidim-2,multidim-2,30.68,13.0,25,98,5.68,1.98
multidim-3,multidim-3,48.32,30.0,16,100,32.32,2.0
STD,STD,49.0,22.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,68.0,38.0,68,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,75.0,77,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,112.0,64.0,112,0,0.0,1.0
multidim-4,multidim-4,120.7,50.0,15,100,105.7,2.0
Binary,Binary,156.33,75.0,8,100,148.33,2.0
