Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,22.83,9.0,17,97,5.83,1.97
Matrix,Matrix,22.83,9.0,17,97,5.83,1.97
Hierarchical,Hierarchical,24.54,9.0,[8 3],100,16.54,3.0
Random,Random,25.22,17.0,15,94,10.22,1.94
multidim-3,multidim-3,40.24,20.0,13,99,27.24,1.99
STD,STD,49.0,11.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,57.0,15.0,57,0,0.0,1.0
Chinese remainder,Chinese remainder,58.0,36.0,58,0,0.0,1.0
multidim-4,multidim-4,66.76,27.0,12,99,54.76,1.99
Binary,Binary,78.12,36.0,7,100,71.12,2.0
Ch. Rm. Special,Ch. Rm. Special,84.0,32.0,84,0,0.0,1.0
