Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,12.02,13.0,9,83,3.02,1.83
multidim-3,multidim-3,12.16,12.0,10,76,2.16,1.76
multidim-4,multidim-4,12.86,18.0,10,78,2.86,1.78
multidim-2,multidim-2,13.35,6.0,12,68,1.35,1.68
Matrix,Matrix,13.35,6.0,12,68,1.35,1.68
Hierarchical,Hierarchical,14.85,9.0,[4 3],100,10.85,3.0
Ch. Rm. Special,Ch. Rm. Special,18.0,27.0,18,0,0.0,1.0
STD,STD,25.0,8.0,25,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,27.0,9.0,27,0,0.0,1.0
Chinese remainder,Chinese remainder,28.0,18.0,28,0,0.0,1.0
Binary,Binary,28.04,18.0,6,99,22.04,1.99
