Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,18.46,7.0,13,95,5.46,1.95
Matrix,Matrix,18.46,7.0,13,95,5.46,1.95
Hierarchical,Hierarchical,20.13,9.0,[5 3],100,15.13,3.0
Random,Random,21.18,8.0,13,91,8.18,1.91
STD,STD,28.0,6.0,28,0,0.0,1.0
multidim-3,multidim-3,34.9,14.0,11,98,23.9,1.98
multidim-4,multidim-4,42.99,21.0,11,98,31.99,1.98
Binary,Binary,46.57,21.0,6,100,40.57,2.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,47.0,21.0,47,0,0.0,1.0
Chinese remainder,Chinese remainder,58.0,21.0,58,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,60.0,16.0,60,0,0.0,1.0
