Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,26.66,11.0,21,98,5.66,1.98
Matrix,Matrix,26.66,11.0,21,98,5.66,1.98
Hierarchical,Hierarchical,27.9,27.0,[4 3 3],100,23.9,4.0
Random,Random,27.92,27.0,17,94,10.92,1.94
multidim-3,multidim-3,43.57,25.0,15,99,28.57,1.99
STD,STD,49.0,16.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,64.0,54.0,64,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,54.0,77,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,84.0,32.0,84,0,0.0,1.0
multidim-4,multidim-4,93.94,36.0,13,100,80.94,2.0
Binary,Binary,113.47,54.0,7,100,106.47,2.0
