Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,19.54,7.0,14,96,5.54,1.96
Matrix,Matrix,19.54,7.0,14,96,5.54,1.96
Hierarchical,Hierarchical,21.34,8.0,[6 3],100,15.34,3.0
Random,Random,23.44,13.0,13,95,10.44,1.95
STD,STD,28.0,7.0,28,0,0.0,1.0
multidim-3,multidim-3,40.27,16.0,11,98,29.27,1.98
Ch. Rm. Bktrk,Ch. Rm. Bktrk,47.0,16.0,47,0,0.0,1.0
multidim-4,multidim-4,48.16,24.0,11,99,37.16,1.99
Binary,Binary,53.57,24.0,6,100,47.57,2.0
Chinese remainder,Chinese remainder,58.0,24.0,58,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,60.0,16.0,60,0,0.0,1.0
