Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,11.83,11.0,9,74,2.83,1.74
multidim-3,multidim-3,11.83,12.0,10,68,1.83,1.68
multidim-4,multidim-4,12.39,16.0,10,72,2.39,1.72
multidim-2,multidim-2,13.21,6.0,12,60,1.21,1.6
Matrix,Matrix,13.21,6.0,12,60,1.21,1.6
Hierarchical,Hierarchical,14.2,8.0,[4 3],100,10.2,3.0
Ch. Rm. Special,Ch. Rm. Special,18.0,27.0,18,0,0.0,1.0
STD,STD,25.0,7.0,25,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,25.0,8.0,25,0,0.0,1.0
Chinese remainder,Chinese remainder,28.0,16.0,28,0,0.0,1.0
Binary,Binary,28.79,16.0,5,99,23.79,1.99
