Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,13.87,18.0,11,72,2.87,1.72
multidim-3,multidim-3,14.16,16.0,12,77,2.16,1.77
multidim-4,multidim-4,15.16,27.0,12,81,3.16,1.81
multidim-2,multidim-2,16.42,8.0,15,71,1.42,1.71
Matrix,Matrix,16.42,8.0,15,71,1.42,1.71
Hierarchical,Hierarchical,17.37,10.0,[6 3],100,11.37,3.0
Ch. Rm. Special,Ch. Rm. Special,18.0,27.0,18,0,0.0,1.0
STD,STD,25.0,11.0,25,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,30.0,19.0,30,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,28.0,41,0,0.0,1.0
Binary,Binary,45.79,28.0,6,100,39.79,2.0
