Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,27.37,35.0,18,92,9.37,1.92
multidim-2,multidim-2,28.65,12.0,23,98,5.65,1.98
Matrix,Matrix,28.65,12.0,23,98,5.65,1.98
Hierarchical,Hierarchical,29.05,25.0,[5 3 3],100,24.05,4.0
multidim-3,multidim-3,47.5,25.0,15,100,32.5,2.0
STD,STD,49.0,18.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,64.0,42.0,64,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,63.0,77,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,84.0,32.0,84,0,0.0,1.0
multidim-4,multidim-4,102.07,42.0,14,100,88.07,2.0
Binary,Binary,131.57,63.0,7,100,124.57,2.0
