Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,10.39,8.0,7,90,3.39,1.9
multidim-3,multidim-3,10.53,9.0,9,60,1.53,1.6
multidim-2,multidim-2,11.01,5.0,10,51,1.01,1.51
Matrix,Matrix,11.01,5.0,10,51,1.01,1.51
multidim-4,multidim-4,11.15,12.0,9,67,2.15,1.67
Ch. Rm. Special,Ch. Rm. Special,12.0,9.0,12,0,0.0,1.0
Hierarchical,Hierarchical,12.56,8.0,[3 3],100,9.56,3.0
STD,STD,15.0,5.0,15,0,0.0,1.0
Binary,Binary,18.39,11.0,5,98,13.39,1.98
Ch. Rm. Bktrk,Ch. Rm. Bktrk,23.0,11.0,23,0,0.0,1.0
Chinese remainder,Chinese remainder,28.0,11.0,28,0,0.0,1.0
