Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,15.92,40.0,13,74,2.92,1.74
multidim-4,multidim-4,16.86,36.0,13,89,3.86,1.89
multidim-3,multidim-3,17.54,25.0,15,84,2.54,1.84
Hierarchical,Hierarchical,20.8,27.0,[4 3 3],100,16.8,4.0
Matrix,Matrix,22.55,11.0,21,77,1.55,1.77
multidim-2,multidim-2,22.55,11.0,21,77,1.55,1.77
Ch. Rm. Special,Ch. Rm. Special,25.0,81.0,25,0,0.0,1.0
STD,STD,25.0,22.0,25,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,36.0,27.0,36,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,54.0,41,0,0.0,1.0
Binary,Binary,85.92,54.0,7,100,78.92,2.0
