Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,21.58,8.0,16,96,5.58,1.96
Matrix,Matrix,21.58,8.0,16,96,5.58,1.96
Hierarchical,Hierarchical,22.65,10.0,[6 3],100,16.65,3.0
Random,Random,22.92,14.0,14,94,8.92,1.94
multidim-3,multidim-3,37.56,16.0,12,98,25.56,1.98
STD,STD,49.0,9.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,53.0,15.0,53,0,0.0,1.0
multidim-4,multidim-4,53.38,27.0,12,99,41.38,1.99
Chinese remainder,Chinese remainder,58.0,29.0,58,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,60.0,16.0,60,0,0.0,1.0
Binary,Binary,62.51,29.0,6,100,56.51,2.0
