Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,17.07,49.0,14,73,3.07,1.73
multidim-3,multidim-3,18.8,30.0,16,89,2.8,1.89
multidim-4,multidim-4,19.0,50.0,15,90,4.0,1.9
Hierarchical,Hierarchical,22.77,30.0,[5 3 3],100,17.77,4.0
Ch. Rm. Special,Ch. Rm. Special,25.0,81.0,25,0,0.0,1.0
Matrix,Matrix,26.61,13.0,25,80,1.61,1.8
multidim-2,multidim-2,26.61,13.0,25,80,1.61,1.8
STD,STD,35.0,22.0,35,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,40.0,30.0,40,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,74.0,41,0,0.0,1.0
Binary,Binary,103.12,74.0,8,100,95.12,2.0
