Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,26.05,29.0,18,89,8.05,1.89
multidim-2,multidim-2,27.64,11.0,22,98,5.64,1.98
Matrix,Matrix,27.64,11.0,22,98,5.64,1.98
Hierarchical,Hierarchical,28.61,24.0,[5 3 3],100,23.61,4.0
multidim-3,multidim-3,44.15,25.0,15,99,29.15,1.99
STD,STD,49.0,17.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,64.0,39.0,64,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,59.0,77,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,84.0,32.0,84,0,0.0,1.0
multidim-4,multidim-4,96.62,39.0,14,100,82.62,2.0
Binary,Binary,123.53,59.0,7,100,116.53,2.0
