Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,21.65,8.0,16,97,5.65,1.97
Matrix,Matrix,21.65,8.0,16,97,5.65,1.97
Hierarchical,Hierarchical,23.34,9.0,[7 3],100,16.34,3.0
Random,Random,25.18,15.0,14,94,11.18,1.94
multidim-3,multidim-3,41.48,16.0,12,99,29.48,1.99
STD,STD,49.0,9.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,53.0,13.0,53,0,0.0,1.0
Chinese remainder,Chinese remainder,58.0,32.0,58,0,0.0,1.0
multidim-4,multidim-4,58.97,27.0,12,99,46.97,1.99
Ch. Rm. Special,Ch. Rm. Special,60.0,16.0,60,0,0.0,1.0
Binary,Binary,68.5,32.0,6,100,62.5,2.0
