Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,30.5,9.0,[9 3],100,21.5,3.0
multidim-2,multidim-2,50.42,9.0,18,100,32.42,2.0
Matrix,Matrix,50.42,9.0,18,100,32.42,2.0
STD,STD,55.0,8.0,55,0,0.0,1.0
Random,Random,72.57,14.0,16,100,56.57,2.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,85.0,20.0,85,0,0.0,1.0
Binary,Binary,86.99,40.0,7,100,79.99,2.0
multidim-3,multidim-3,91.19,20.0,13,100,78.19,2.0
multidim-4,multidim-4,91.55,27.0,12,100,79.55,2.0
Chinese remainder,Chinese remainder,100.0,40.0,100,0,0.0,1.0
