Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,17.16,51.0,14,75,3.16,1.75
multidim-4,multidim-4,18.88,54.0,15,90,3.88,1.9
multidim-3,multidim-3,19.74,32.0,17,89,2.74,1.89
Hierarchical,Hierarchical,23.17,27.0,[6 3 3],100,17.17,4.0
Ch. Rm. Special,Ch. Rm. Special,25.0,81.0,25,0,0.0,1.0
Matrix,Matrix,27.62,13.0,26,81,1.62,1.81
multidim-2,multidim-2,27.62,13.0,26,81,1.62,1.81
STD,STD,35.0,23.0,35,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,40.0,32.0,40,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,80.0,41,0,0.0,1.0
Binary,Binary,112.81,80.0,8,100,104.81,2.0
