Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,26.89,11.0,21,98,5.89,1.98
Matrix,Matrix,26.89,11.0,21,98,5.89,1.98
Hierarchical,Hierarchical,28.13,19.0,[6 3 3],100,22.13,4.0
Random,Random,28.36,25.0,17,93,11.36,1.93
multidim-3,multidim-3,43.4,25.0,15,99,28.4,1.99
STD,STD,49.0,16.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,64.0,55.0,64,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,55.0,77,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,84.0,32.0,84,0,0.0,1.0
multidim-4,multidim-4,93.84,38.0,14,100,79.84,2.0
Binary,Binary,116.49,55.0,7,100,109.49,2.0
