Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,16.67,47.0,14,69,2.67,1.69
multidim-4,multidim-4,18.15,48.0,14,92,4.15,1.92
multidim-3,multidim-3,18.73,30.0,16,88,2.73,1.88
Hierarchical,Hierarchical,22.57,29.0,[5 3 3],100,17.57,4.0
Ch. Rm. Special,Ch. Rm. Special,25.0,81.0,25,0,0.0,1.0
Matrix,Matrix,25.67,12.0,24,83,1.67,1.83
multidim-2,multidim-2,25.67,12.0,24,83,1.67,1.83
STD,STD,35.0,21.0,35,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,40.0,29.0,40,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,72.0,41,0,0.0,1.0
Binary,Binary,102.93,72.0,8,100,94.93,2.0
