Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Binary,Binary,5.0,14.0,5,0,0.0,1.0
Random,Random,6.14,11.0,4,86,2.14,1.86
Hierarchical,Hierarchical,8.93,10.0,[3 3],97,5.93,3.0
multidim-3,multidim-3,10.0,10.0,10,0,0.0,1.0
multidim-4,multidim-4,10.0,14.0,10,0,0.0,1.0
Chinese remainder,Chinese remainder,10.0,14.0,10,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,10.0,14.0,10,0,0.0,1.0
Matrix,Matrix,11.0,6.0,11,0,0.0,1.0
multidim-2,multidim-2,11.0,6.0,11,0,0.0,1.0
STD,STD,15.0,6.0,15,0,0.0,1.0
