Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,14.55,23.0,12,68,2.55,1.68
multidim-4,multidim-4,15.3,27.0,12,85,3.3,1.85
multidim-3,multidim-3,15.36,20.0,13,81,2.36,1.81
Ch. Rm. Special,Ch. Rm. Special,18.0,27.0,18,0,0.0,1.0
Hierarchical,Hierarchical,18.92,19.0,[4 3 3],100,14.92,4.0
Matrix,Matrix,19.49,9.0,18,75,1.49,1.75
multidim-2,multidim-2,19.49,9.0,18,75,1.49,1.75
STD,STD,25.0,15.0,25,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,32.0,25.0,32,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,37.0,41,0,0.0,1.0
Binary,Binary,51.46,37.0,7,100,44.46,2.0
