Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Binary,Binary,8.0,125.0,8,0,0.0,1.0
Random,Random,14.0,105.0,14,0,0.0,1.0
Hierarchical,Hierarchical,15.06,84.0,[3 3 3 3],100,12.06,5.0
multidim-4,multidim-4,16.0,64.0,16,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,19.0,84.0,19,0,0.0,1.0
multidim-3,multidim-3,19.0,42.0,19,0,0.0,1.0
STD,STD,20.0,50.0,20,0,0.0,1.0
Chinese remainder,Chinese remainder,28.0,125.0,28,0,0.0,1.0
Matrix,Matrix,32.0,16.0,32,0,0.0,1.0
multidim-2,multidim-2,32.0,16.0,32,0,0.0,1.0
