Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,12.95,15.0,10,73,2.95,1.73
multidim-3,multidim-3,12.99,14.0,11,72,1.99,1.72
multidim-4,multidim-4,13.62,21.0,11,76,2.62,1.76
multidim-2,multidim-2,14.32,7.0,13,66,1.32,1.66
Matrix,Matrix,14.32,7.0,13,66,1.32,1.66
Hierarchical,Hierarchical,15.68,9.0,[5 3],100,10.68,3.0
Ch. Rm. Special,Ch. Rm. Special,18.0,27.0,18,0,0.0,1.0
STD,STD,25.0,9.0,25,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,28.0,21.0,28,0,0.0,1.0
Chinese remainder,Chinese remainder,28.0,21.0,28,0,0.0,1.0
Binary,Binary,31.68,21.0,6,99,25.68,1.99
