Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,15.14,28.0,12,80,3.14,1.8
multidim-3,multidim-3,16.49,21.0,14,82,2.49,1.82
multidim-4,multidim-4,16.62,28.0,13,86,3.62,1.86
Hierarchical,Hierarchical,19.55,28.0,[3 3 3],100,16.55,4.0
Matrix,Matrix,20.52,10.0,19,76,1.52,1.76
multidim-2,multidim-2,20.52,10.0,19,76,1.52,1.76
Ch. Rm. Special,Ch. Rm. Special,25.0,81.0,25,0,0.0,1.0
STD,STD,25.0,17.0,25,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,34.0,41.0,34,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,41.0,41,0,0.0,1.0
Binary,Binary,58.38,41.0,7,100,51.38,2.0
