Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,16.51,40.0,13,79,3.51,1.79
multidim-4,multidim-4,17.69,42.0,14,89,3.69,1.89
multidim-3,multidim-3,17.76,25.0,15,88,2.76,1.88
Hierarchical,Hierarchical,21.71,25.0,[5 3 3],100,16.71,4.0
Matrix,Matrix,24.58,12.0,23,79,1.58,1.79
multidim-2,multidim-2,24.58,12.0,23,79,1.58,1.79
Ch. Rm. Special,Ch. Rm. Special,25.0,81.0,25,0,0.0,1.0
STD,STD,25.0,25.0,25,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,38.0,31.0,38,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,62.0,41,0,0.0,1.0
Binary,Binary,106.91,62.0,7,100,99.91,2.0
